Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v3.2,mm/day,2.961,2.799,0.163,2.56,2.539,1.097,0.91
PRECT global GPCP_v2.3,mm/day,2.961,2.699,0.262,2.525,2.369,1.02,0.921
TREFHT land_60S90N CRU,DegC,5.121,5.548,-0.428,19.593,19.981,2.397,0.993
SST global HadISST,degC,19.855,999.999,999.999,8.646,999.999,999.999,999.999
SST global HadISST_CL,degC,19.855,19.005,0.849,8.646,9.332,0.226,1.0
SST global HadISST_PI,degC,19.855,19.219,0.635,8.646,8.783,0.553,0.999
SST global HadISST_PD,degC,19.855,19.115,0.74,8.646,9.328,0.222,1.0
SOLIN global ceres_ebaf_toa_v4.1,W/m2,350.529,350.5,0.028,147.307,146.707,1.061,1.0
ALBEDO 75S75N ceres_ebaf_toa_v4.1,dimensionless,0.322,0.324,-0.002,0.119,0.134,0.043,0.948
ALBEDOC global ceres_ebaf_toa_v4.1,dimensionless,0.185,0.212,-0.028,0.142,0.279,0.214,0.669
RESTOM global ceres_ebaf_toa_v4.1,W/m2,9.268,7.946,1.323,97.044,95.935,12.847,0.991
FLUT global ceres_ebaf_toa_v4.1,W/m2,236.432,237.474,-1.043,31.746,32.743,7.314,0.975
FLUTC global ceres_ebaf_toa_v4.1,W/m2,260.55,263.309,-2.759,33.028,32.648,4.765,0.993
FSNTOA global ceres_ebaf_toa_v4.1,W/m2,245.59,245.42,0.17,116.571,117.178,14.564,0.992
FSNTOAC global ceres_ebaf_toa_v4.1,W/m2,298.771,294.647,4.124,139.984,138.14,10.883,0.997
SWCF global ceres_ebaf_toa_v4.1,W/m2,-53.182,-49.227,-3.955,38.592,36.987,12.75,0.949
LWCF global ceres_ebaf_toa_v4.1,W/m2,24.118,25.835,-1.717,15.92,14.322,6.243,0.927
NETCF global ceres_ebaf_toa_v4.1,W/m2,-29.064,-23.392,-5.671,34.157,33.269,11.918,0.952
ALBEDO_SRF global ceres_ebaf_surface_v4.1,dimensionless,0.162,0.162,-0.0,0.195,0.206,0.054,0.966
SWCFSRF global ceres_ebaf_surface_v4.1,W/m2,-57.411,-52.803,-4.608,42.929,40.802,13.786,0.953
LWCFSRF global ceres_ebaf_surface_v4.1,W/m2,26.558,28.212,-1.654,18.273,15.042,9.041,0.875
NETCF_SRF global ceres_ebaf_surface_v4.1,W/m2,-30.852,-24.591,-6.262,37.538,38.96,13.883,0.948
FLDS global ceres_ebaf_surface_v4.1,W/m2,336.544,336.6,-0.056,75.066,76.368,9.845,0.992
FLDSC global ceres_ebaf_surface_v4.1,W/m2,309.43,308.658,0.772,83.074,84.859,7.156,0.997
FLNS global ceres_ebaf_surface_v4.1,W/m2,53.532,53.34,0.192,19.66,18.158,9.303,0.882
FLNSC global ceres_ebaf_surface_v4.1,W/m2,80.09,81.552,-1.462,16.593,17.691,8.632,0.879
FSDS global ceres_ebaf_surface_v4.1,W/m2,192.434,192.761,-0.327,91.239,90.928,14.658,0.987
FSDSC global ceres_ebaf_surface_v4.1,W/m2,255.374,251.584,3.79,112.078,110.286,6.889,0.999
FSNS global ceres_ebaf_surface_v4.1,W/m2,167.751,167.555,0.197,86.121,86.391,15.292,0.984
FSNSC global ceres_ebaf_surface_v4.1,W/m2,225.162,220.358,4.804,111.226,108.865,11.556,0.996
LHFLX global OAFlux,W/m2,85.766,92.617,-6.852,64.18,45.307,25.831,0.953
SHFLX global OAFlux,W/m2,18.619,11.992,6.627,23.231,18.938,10.353,0.89
LHFLX global ERA5,W/m2,85.766,82.03,3.736,64.18,58.638,15.439,0.974
SHFLX global ERA5,W/m2,18.619,15.434,3.185,23.231,22.896,9.133,0.931
PSL global ERA5,mbar,1011.687,1011.54,0.148,10.567,8.589,2.888,0.976
FSNS global ERA5,W/m2,167.751,168.873,-1.122,86.121,85.498,15.642,0.983
FLNS global ERA5,W/m2,53.532,57.018,-3.486,19.66,18.515,9.398,0.897
NET_FLUX_SRF global ERA5,W/m2,8.906,14.391,-5.485,97.902,89.424,27.202,0.964
PRECT global ERA5,mm/day,2.961,2.893,0.068,2.56,2.64,0.983,0.929
TMQ global ERA5,kg/m2,24.702,23.137,1.565,15.567,15.529,2.419,0.993
QREFHT global ERA5_ext,g/kg,9.765,9.346,0.419,6.03,6.048,0.715,0.995
U10 global ERA5_ext,m/s,6.217,6.135,0.083,2.487,2.499,0.959,0.927
U-850mb global ERA5,m/s,1.086,1.046,0.041,6.541,5.828,1.383,0.98
U-200mb global ERA5,m/s,17.197,16.976,0.221,14.517,14.664,3.496,0.971
Z3-500mb global ERA5,hectometer,56.427,56.387,0.04,2.738,2.687,0.219,0.997
OMEGA-200mb global ERA5,mbar/day,0.193,-0.0,0.194,15.114,13.317,8.796,0.816
OMEGA-500mb global ERA5,mbar/day,-0.015,-0.003,-0.012,25.092,30.421,19.201,0.777
OMEGA-850mb global ERA5,mbar/day,-0.313,4.275,-4.588,29.079,69.33,54.526,0.471
T-850mb global ERA5,K,279.858,279.829,0.029,11.667,12.09,1.071,0.997
T-200mb global ERA5,K,220.146,218.982,1.164,3.102,3.038,3.302,0.493
TAUXY ocean ERA5,N/m^2,0.072,0.072,0.0,0.051,0.049,0.024,0.883
LHFLX global MERRA2,W/m2,85.766,83.742,2.023,64.18,60.352,16.277,0.968
SHFLX global MERRA2,W/m2,18.619,17.321,1.298,23.231,25.204,11.263,0.896
PSL global MERRA2,mbar,1011.687,1011.062,0.625,10.567,8.615,3.136,0.969
FSNS global MERRA2,W/m2,167.751,167.776,-0.025,86.121,86.174,17.688,0.979
FLNS global MERRA2,W/m2,53.532,61.18,-7.648,19.66,19.582,12.171,0.884
NET_FLUX_SRF global MERRA2,W/m2,8.906,5.534,3.372,97.902,80.931,32.906,0.951
PRECT global MERRA2,mm/day,2.961,2.926,0.035,2.56,3.045,1.544,0.862
TMQ global MERRA2,kg/m2,24.702,23.701,1.001,15.567,15.943,2.162,0.993
U-850mb global MERRA2,m/s,1.086,0.922,0.164,6.541,6.127,1.351,0.98
U-200mb global MERRA2,m/s,17.197,17.331,-0.134,14.517,14.563,3.354,0.973
Z3-500mb global MERRA2,hectometer,56.427,56.371,0.055,2.738,2.691,0.233,0.997
OMEGA-200mb global MERRA2,mbar/day,0.193,-0.098,0.291,15.114,12.783,8.103,0.844
