Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v3.2,mm/day,2.941,2.782,0.16,2.118,2.193,0.95,0.906
PRECT global GPCP_v2.3,mm/day,2.941,2.664,0.278,2.085,2.066,0.884,0.918
TREFHT land_60S90N CRU,DegC,13.092,999.999,999.999,12.968,999.999,999.999,999.999
SST global HadISST,degC,19.925,999.999,999.999,8.986,999.999,999.999,999.999
SST global HadISST_CL,degC,19.925,19.218,0.707,8.986,9.565,0.226,1.0
SST global HadISST_PI,degC,19.925,19.347,0.578,8.986,9.084,0.564,0.999
SST global HadISST_PD,degC,19.925,19.356,0.569,8.986,9.542,0.223,1.0
SOLIN global ceres_ebaf_toa_v4.1,W/m2,338.283,338.181,0.101,100.528,101.37,2.022,1.0
ALBEDO 75S75N ceres_ebaf_toa_v4.1,dimensionless,0.308,0.307,0.001,0.116,0.119,0.033,0.961
ALBEDOC global ceres_ebaf_toa_v4.1,dimensionless,0.174,0.185,-0.012,0.128,0.139,0.033,0.977
RESTOM global ceres_ebaf_toa_v4.1,W/m2,4.058,1.447,2.61,72.658,72.038,9.406,0.992
FLUT global ceres_ebaf_toa_v4.1,W/m2,236.785,239.311,-2.526,30.378,30.957,6.607,0.98
FLUTC global ceres_ebaf_toa_v4.1,W/m2,262.658,265.385,-2.728,31.166,31.357,4.359,0.994
FSNTOA global ceres_ebaf_toa_v4.1,W/m2,240.723,240.758,-0.035,94.837,94.641,10.319,0.994
FSNTOAC global ceres_ebaf_toa_v4.1,W/m2,286.927,283.237,3.689,99.451,100.049,9.838,0.996
SWCF global ceres_ebaf_toa_v4.1,W/m2,-46.204,-42.479,-3.725,23.028,22.041,11.077,0.894
LWCF global ceres_ebaf_toa_v4.1,W/m2,25.873,26.074,-0.202,12.652,11.668,4.939,0.921
NETCF global ceres_ebaf_toa_v4.1,W/m2,-20.331,-16.405,-3.926,18.134,16.883,10.131,0.86
ALBEDO_SRF global ceres_ebaf_surface_v4.1,dimensionless,0.146,0.15,-0.004,0.177,0.197,0.043,0.979
SWCFSRF global ceres_ebaf_surface_v4.1,W/m2,-49.582,-45.118,-4.465,25.108,23.476,12.21,0.893
LWCFSRF global ceres_ebaf_surface_v4.1,W/m2,25.794,26.906,-1.112,18.305,14.779,7.945,0.909
NETCF_SRF global ceres_ebaf_surface_v4.1,W/m2,-23.789,-18.212,-5.576,23.906,24.353,11.82,0.907
FLDS global ceres_ebaf_surface_v4.1,W/m2,344.149,344.544,-0.395,67.186,69.454,9.722,0.99
FLDSC global ceres_ebaf_surface_v4.1,W/m2,317.635,317.399,0.236,78.452,79.638,6.792,0.996
FLNS global ceres_ebaf_surface_v4.1,W/m2,55.012,54.307,0.705,19.444,18.906,9.293,0.884
FLNSC global ceres_ebaf_surface_v4.1,W/m2,80.806,81.213,-0.407,16.265,18.844,7.124,0.928
FSDS global ceres_ebaf_surface_v4.1,W/m2,187.925,188.039,-0.115,74.965,71.25,14.244,0.982
