python_version	relative_path	kind	byte_exact	structure_equal	metadata_equal	dtypes_equal	nan_masks_equal	values_exact	canonical_exact	differing_pixels	rms_channel_difference	max_absolute_difference	max_relative_difference	within_tolerance	status
3.13.14	annual_cycle_zonal_mean/ERA5/ERA5-SHFLX-ANNUALCYCLE-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	annual_cycle_zonal_mean/ERA5/ERA5-TMQ-ANNUALCYCLE-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	annual_cycle_zonal_mean/ERA5/ERA5-TREFHT-ANNUALCYCLE-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	annual_cycle_zonal_mean/GPCP_OAFLux/GPCP_OAFLux-PminusE-ANNUALCYCLE-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	annual_cycle_zonal_mean/GPCP_v2.3/GPCP_v2.3-PRECT-ANNUALCYCLE-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	annual_cycle_zonal_mean/GPCP_v3.2/GPCP_v3.2-PRECT-ANNUALCYCLE-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	annual_cycle_zonal_mean/MACv2/MACv2-AODVIS-ANNUALCYCLE-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	annual_cycle_zonal_mean/MERRA2/MERRA2-LHFLX-ANNUALCYCLE-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	annual_cycle_zonal_mean/MERRA2/MERRA2-PRECT-ANNUALCYCLE-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	annual_cycle_zonal_mean/MERRA2/MERRA2-PSL-ANNUALCYCLE-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	annual_cycle_zonal_mean/MERRA2/MERRA2-SHFLX-ANNUALCYCLE-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	annual_cycle_zonal_mean/MERRA2/MERRA2-TMQ-ANNUALCYCLE-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	annual_cycle_zonal_mean/MERRA2/MERRA2-TREFHT-ANNUALCYCLE-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	annual_cycle_zonal_mean/MERRA2_Aerosols/MERRA2_Aerosols-AODVIS-ANNUALCYCLE-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	annual_cycle_zonal_mean/OMI-MLS/OMI-MLS-SCO-ANNUALCYCLE-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	annual_cycle_zonal_mean/OMI-MLS/OMI-MLS-TCO-ANNUALCYCLE-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	annual_cycle_zonal_mean/SST_CL_HadISST/HadISST_CL-SST-ANNUALCYCLE-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	cosp_histogram/ISCCP-COSP/ISCCPCOSP_v2-COSP_HISTOGRAM_ISCCP-ANN-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	cosp_histogram/ISCCP-COSP/ISCCPCOSP_v2-COSP_HISTOGRAM_ISCCP-DJF-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	cosp_histogram/ISCCP-COSP/ISCCPCOSP_v2-COSP_HISTOGRAM_ISCCP-JJA-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	cosp_histogram/ISCCP-COSP/ISCCPCOSP_v2-COSP_HISTOGRAM_ISCCP-MAM-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	cosp_histogram/ISCCP-COSP/ISCCPCOSP_v2-COSP_HISTOGRAM_ISCCP-SON-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	cosp_histogram/MISR-COSP/MISRCOSP_v2-COSP_HISTOGRAM_MISR-ANN-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	cosp_histogram/MISR-COSP/MISRCOSP_v2-COSP_HISTOGRAM_MISR-DJF-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
